pair_id,attempt_id,task_id,backend,phase,event,status,failure_class,monotonic_ns,elapsed_ms,command,artifact_dir
"pair-00-literal_argv","attempt-00-literal_argv-shell","literal_argv","shell","codex","start","unknown","unknown","103656","unknown","python3 -c 'import sys; print(repr(sys.argv[1:]))' 'alpha beta' 'quote""double' 'dollar$' '$(touch SHOULD_NOT_EXIST)'","attempts/pair-00-literal_argv/shell"
"pair-00-literal_argv","attempt-00-literal_argv-shell","literal_argv","shell","codex","exit","unknown","missing_command_event","452541629","452","unknown","attempts/pair-00-literal_argv/shell"
"pair-00-literal_argv","attempt-00-literal_argv-shell","literal_argv","shell","codex","reap","unknown","missing_command_event","452555761","unknown","unknown","attempts/pair-00-literal_argv/shell"
"pair-00-literal_argv","attempt-00-literal_argv-shell","literal_argv","shell","io","drain","unknown","missing_command_event","452560809","unknown","unknown","attempts/pair-00-literal_argv/shell"
"pair-00-literal_argv","attempt-00-literal_argv-transparent","literal_argv","transparent","codex","start","unknown","unknown","452693077","unknown","python3 -c 'import sys; print(repr(sys.argv[1:]))' 'alpha beta' 'quote""double' 'dollar$' '$(touch SHOULD_NOT_EXIST)'","attempts/pair-00-literal_argv/transparent"
"pair-00-literal_argv","attempt-00-literal_argv-transparent","literal_argv","transparent","codex","exit","unknown","missing_command_event","1055755468","602","unknown","attempts/pair-00-literal_argv/transparent"
"pair-00-literal_argv","attempt-00-literal_argv-transparent","literal_argv","transparent","codex","reap","unknown","missing_command_event","1055767036","unknown","unknown","attempts/pair-00-literal_argv/transparent"
"pair-00-literal_argv","attempt-00-literal_argv-transparent","literal_argv","transparent","io","drain","unknown","missing_command_event","1055770912","unknown","unknown","attempts/pair-00-literal_argv/transparent"
"pair-00-stdin_utf8","attempt-00-stdin_utf8-transparent","stdin_utf8","transparent","codex","start","unknown","unknown","1055860368","unknown","printf '第一行\n\n最后一行\n' | python3 -c 'import sys; print(sys.stdin.read(), end="""")'","attempts/pair-00-stdin_utf8/transparent"
"pair-00-stdin_utf8","attempt-00-stdin_utf8-transparent","stdin_utf8","transparent","codex","exit","unknown","missing_command_event","1507838996","451","unknown","attempts/pair-00-stdin_utf8/transparent"
"pair-00-stdin_utf8","attempt-00-stdin_utf8-transparent","stdin_utf8","transparent","codex","reap","unknown","missing_command_event","1507849292","unknown","unknown","attempts/pair-00-stdin_utf8/transparent"
"pair-00-stdin_utf8","attempt-00-stdin_utf8-transparent","stdin_utf8","transparent","io","drain","unknown","missing_command_event","1507854019","unknown","unknown","attempts/pair-00-stdin_utf8/transparent"
